index,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
18104,18.12183436002738,12,8,9,0,0.0,3,12,6,15,9,750,60,28,13,80,12
18105,18.275154004106778,13,7,8,0,0.0,6,11,9,13,7,550,45,25,20,173,2
18106,18.392881587953458,12,14,9,0,0.0,14,12,17,15,11,2100,87,28,17,173,0
18107,19.156741957563312,8,16,13,0,0.0,6,11,9,16,13,1000,91,10,15,161,0
18108,18.182067077344286,16,16,18,379,7.03,14,14,14,12,5,5500,130,22,19,173,7
18109,18.075290896646134,12,12,11,1267,6.84,12,9,14,14,6,1250,90,34,15,161,1
18110,18.17385352498289,13,14,11,0,0.0,6,10,15,14,7,550,39,52,15,120,11
18111,18.321697467488022,13,9,10,0,0.0,6,13,2,13,5,650,37,73,15,120,13
18112,18.414784394250514,12,15,12,278,7.67,1,11,10,7,12,850,74,26,5,66,0
18113,17.544147843942504,12,9,11,0,0.0,9,10,8,12,15,600,41,50,15,120,12
18114,18.04243668720055,14,12,12,372,6.61,8,11,10,16,5,2000,101,39,17,185,18
18115,18.373716632443532,15,14,14,1734,6.86,11,13,13,12,5,3750,121,47,18,161,13
18116,16.876112251882272,13,16,13,0,0.0,14,13,8,10,5,1900,77,42,15,140,12
18117,17.79876796714579,11,13,9,79,6.7,10,11,10,20,9,2050,82,32,1,96,0
18119,18.31895961670089,8,16,14,1263,6.83,13,10,9,16,7,2050,82,27,1,96,0
18120,17.817932922655714,11,8,12,1552,6.71,8,13,9,13,11,2000,82,37,1,96,5
18121,17.505817932922657,9,15,10,1548,6.67,4,12,8,11,13,2050,83,55,1,96,2
18122,18.376454483230663,12,15,9,1049,6.68,14,10,8,18,14,1950,78,35,1,96,5
18123,17.700205338809035,13,14,13,0,0.0,9,8,9,13,12,1950,78,24,15,140,4
18124,18.04517453798768,12,12,11,733,6.74,5,11,9,13,9,2000,80,39,1,96,4
18125,17.322381930184804,12,10,13,900,6.74,10,12,6,12,15,1900,83,47,1,96,13
18128,18.168377823408623,5,9,5,0,0.0,15,5,6,5,7,400,57,13,12,80,2
18129,22.286105407255306,11,11,11,3295,6.96,11,12,12,8,8,1400,78,25,1,73,0
18131,17.95756331279945,11,3,13,0,0.0,16,11,15,15,14,500,44,28,7,80,2
18133,21.152635181382614,10,12,10,190,6.63,12,11,16,19,5,1350,77,33,12,87,0
18134,20.993839835728952,12,8,13,2430,6.64,7,12,12,15,7,1150,73,36,2,73,9
18135,21.579739904175224,11,14,11,9,0.0,1,10,11,17,8,1750,85,25,8,87,0
18136,22.365503080082135,9,13,12,2100,6.92,11,12,12,17,4,2300,96,16,14,73,0
18137,21.136208076659823,11,10,12,0,0.0,5,11,11,20,5,1450,79,26,1,87,0
18138,17.804243668720055,10,11,12,0,0.0,3,11,8,8,9,500,32,37,10,80,3
18140,17.982203969883642,12,18,15,402,6.83,2,10,12,13,8,850,75,64,14,117,13
18141,19.811088295687885,10,15,8,232,6.64,9,13,8,8,15,850,89,2,5,80,0
18142,18.43394934976044,11,7,11,0,0.0,9,12,7,19,13,500,41,36,11,120,3
18143,18.680355920602327,10,7,9,4,0.0,2,9,10,10,7,350,52,9,10,80,4
18144,18.88021902806297,12,12,10,0,0.0,10,10,10,17,8,800,79,1,13,80,1
18145,17.689253935660506,13,15,9,0,0.0,13,11,9,9,7,500,36,53,7,80,1
18146,18.729637234770706,12,10,13,0,0.0,14,9,10,15,12,1250,76,25,8,120,6
18147,18.130047912388775,9,9,12,0,0.0,6,9,7,13,14,650,50,45,10,173,10
18149,18.43394934976044,9,10,13,0,0.0,19,9,10,14,9,550,50,40,12,80,3
18150,18.409308692676248,17,13,15,872,7.05,10,11,9,9,3,2650,104,40,14,80,11
18151,18.379192334017795,11,10,11,45,6.7,10,13,7,8,13,600,60,27,13,80,13
18152,17.845311430527037,13,6,9,1182,6.9,18,9,17,15,5,2150,97,35,14,96,2
18153,16.99110198494182,11,9,12,0,0.0,5,12,9,17,8,1350,56,31,14,96,9
18154,17.193702943189596,12,9,12,0,0.0,9,13,15,8,7,1550,62,16,14,96,3
18156,18.31895961670089,12,12,13,0,0.0,12,10,9,15,7,850,64,37,16,173,10
18157,18.223134839151268,11,18,11,566,6.72,9,13,8,12,10,1950,78,14,13,96,3
18159,17.00479123887748,10,17,12,0,0.0,7,13,7,11,9,1150,46,12,15,96,2
18160,17.697467488021903,12,5,12,0,0.0,5,12,17,19,7,1600,65,13,12,140,0
18161,18.10814510609172,13,10,9,78,7.1,5,12,18,16,14,1000,75,38,15,94,3
18163,18.39561943874059,10,13,11,0,0.0,2,12,6,15,12,1900,82,32,14,94,1
18164,21.686516084873375,10,17,10,394,7.2,15,11,12,9,14,1750,85,16,2,73,0
18165,21.72210814510609,9,13,10,337,6.72,4,12,13,14,14,4650,123,13,18,178,0
18166,17.00479123887748,15,14,15,347,6.79,4,14,18,16,7,2300,97,59,18,160,15
18167,17.727583846680357,11,12,9,0,0.0,6,12,12,19,10,1250,70,40,12,160,8
18168,17.322381930184804,12,14,13,2829,6.96,9,10,10,9,5,4750,130,38,18,160,8
18169,18.253251197809718,11,13,11,3281,6.64,9,9,9,12,6,2500,97,51,17,107,20
18170,18.22861054072553,10,6,13,25,7.4,5,12,14,13,12,1500,85,47,19,134,14
18171,18.38740588637919,12,4,11,0,0.0,6,14,10,10,9,1250,45,19,7,72,0
18172,17.919233401779604,12,13,13,0,0.0,10,10,12,10,7,2500,100,37,18,185,6
18173,18.55167693360712,11,11,10,0,0.0,7,9,14,19,10,1500,70,14,19,134,4
18174,18.595482546201232,9,10,13,0,0.0,14,12,20,16,5,1500,70,26,19,134,8
18175,18.340862422997947,13,8,12,0,0.0,4,9,10,14,6,1250,70,10,19,134,2
18176,18.811772758384667,13,9,7,0,0.0,3,12,10,12,9,1250,70,16,19,134,4
18177,21.251197809719372,11,13,12,2077,7.14,7,10,10,20,15,450,64,23,12,86,4
18178,17.423682409308693,12,14,16,0,0.0,11,14,11,12,6,2250,88,36,11,185,13
18179,17.935660506502394,10,16,11,0,0.0,11,9,9,8,5,600,60,21,18,134,0
18181,24.777549623545518,12,10,13,257,6.68,12,10,12,14,9,1250,80,5,5,91,0
18182,18.69678302532512,12,7,9,1999,6.77,14,8,9,16,8,1250,71,33,8,85,4
18183,19.3347022587269,12,9,12,0,0.0,7,9,8,10,15,2750,67,9,11,160,0
18184,18.182067077344286,10,6,12,303,6.63,12,11,10,18,5,3250,85,25,13,96,3
18186,21.82340862422998,10,14,11,265,6.6,13,11,13,20,13,1400,78,19,2,73,-1
18187,18.652977412731005,12,3,12,68,6.5,11,11,7,15,6,250,45,44,6,91,2
18188,18.77618069815195,11,12,11,588,6.93,17,13,9,9,10,2750,76,18,12,85,2
18190,21.385352498288842,10,10,12,1521,6.96,7,11,18,17,5,1500,80,19,3,73,2
18191,19.140314852840522,10,3,9,3035,6.8,10,11,10,8,6,3300,96,47,9,87,4
18192,17.88637919233402,12,18,12,0,0.0,12,11,8,18,7,1250,51,20,10,140,6
18194,19.78097193702943,11,9,10,641,6.93,5,12,20,7,9,750,66,14,8,86,1
18195,17.470225872689937,11,16,10,0,0.0,4,11,7,12,12,1200,49,35,12,140,9
18196,17.09240246406571,14,12,10,0,0.0,3,11,10,20,12,1650,67,25,12,96,4
18197,19.38672142368241,11,9,12,0,0.0,7,9,8,19,6,450,59,8,7,80,0
18198,17.976728268309376,11,4,10,0,0.0,3,11,6,13,6,500,41,30,5,80,0
18199,18.420260095824776,13,2,12,0,0.0,14,12,9,18,8,500,40,48,11,120,2
18200,16.747433264887064,11,17,13,0,0.0,5,15,7,18,12,1300,52,21,13,140,8
18201,20.073921971252567,9,12,9,0,0.0,10,13,14,13,5,700,65,12,8,110,0
18203,18.573579739904176,10,16,11,0,0.0,15,13,9,11,10,1000,70,45,18,134,12
18204,23.515400410677618,13,15,15,2665,6.79,12,16,13,16,7,4100,122,12,12,125,0
18205,17.544147843942504,8,4,11,0,0.0,4,10,6,13,15,1750,75,43,20,185,9
18207,17.965776865160848,10,2,10,308,6.6,4,12,20,15,6,1750,87,28,17,160,2
18208,23.129363449691994,10,14,13,3265,6.59,11,9,18,14,14,1750,85,20,8,87,4
18209,18.431211498973305,9,12,10,38,6.8,8,11,10,10,5,1350,61,62,11,107,7
18210,17.95482546201232,11,13,10,45,6.6,12,11,9,12,12,800,63,18,13,80,10
18211,18.22861054072553,14,12,11,0,0.0,8,12,15,8,6,750,46,8,13,173,1
18212,18.38193018480493,11,13,9,0,0.0,10,8,17,19,6,750,62,67,15,173,22
18213,17.911019849418206,13,13,12,14,0.0,14,10,7,15,10,800,62,32,14,80,6
18214,17.34428473648186,9,7,11,0,0.0,12,10,20,19,9,550,45,47,5,80,1
18215,18.819986310746064,10,9,14,1722,6.92,8,10,10,12,9,1750,85,33,1,73,3
18216,17.861738535249827,13,7,11,0,0.0,4,10,6,9,8,500,27,44,5,80,1
18217,17.399041752224505,10,9,9,0,0.0,15,10,7,11,11,650,52,37,10,173,8
18218,18.46132785763176,12,9,9,0,0.0,1,15,8,11,8,500,38,42,5,80,5
18219,19.15126625598905,11,13,12,1103,6.84,13,11,18,7,10,1300,76,33,1,73,8
18220,18.00684462696783,11,10,12,205,6.63,7,13,10,18,8,500,60,40,5,80,13
18221,17.65639972621492,10,3,14,9,0.0,10,11,10,19,9,500,53,31,12,80,6
18222,18.2258726899384,11,2,9,0,0.0,6,10,19,18,10,750,43,31,12,80,0
18223,17.464750171115675,10,9,10,0,0.0,5,10,9,10,10,700,55,82,14,173,31
18224,18.48870636550308,12,11,10,112,7.45,10,11,10,17,4,950,76,38,12,80,13
18225,17.516769336071185,12,14,9,15,6.6,9,9,7,18,6,900,70,44,15,173,15
18226,18.146475017111566,10,7,10,0,0.0,8,12,13,11,7,650,54,33,15,173,10
18227,18.239561943874058,10,7,7,0,0.0,12,9,8,15,12,550,63,21,12,80,3
18228,18.105407255304584,14,4,9,0,0.0,8,13,18,18,10,600,44,30,12,80,6
18229,18.694045174537987,9,16,10,3006,6.95,1,11,11,17,10,2000,90,12,1,73,0
18230,18.023271731690624,11,8,11,0,0.0,6,9,8,20,12,900,71,44,18,173,13
18231,17.842573579739906,11,13,10,0,0.0,10,13,8,9,13,250,34,8,5,80,2
18232,18.373716632443532,12,14,10,0,0.0,8,10,17,18,5,500,46,28,10,80,5
18233,18.39561943874059,10,10,9,0,0.0,17,10,10,14,13,500,44,43,6,80,2
18234,17.754962354551676,11,16,13,0,0.0,6,11,8,7,8,500,38,44,5,80,6
18235,17.489390828199863,11,18,11,231,6.58,9,10,9,20,14,2250,89,71,20,185,23
18236,20.484599589322382,15,14,13,0,0.0,13,10,13,13,4,2750,95,50,18,173,5
18237,20.92539356605065,12,5,11,0,0.0,8,11,10,18,5,600,66,23,10,160,1
18238,20.021902806297057,12,14,11,155,6.6,3,13,10,20,5,900,72,28,8,110,5
18240,22.105407255304584,12,1,12,1690,6.63,6,12,19,12,6,2200,94,21,2,87,0
18241,17.76865160848734,11,4,14,0,0.0,1,12,7,10,11,600,40,31,8,120,1
18242,18.477754962354553,12,11,10,0,0.0,12,11,9,10,8,500,34,39,7,80,0
18243,17.68104038329911,12,16,11,0,0.0,7,13,3,10,9,600,45,25,7,80,4
18244,22.105407255304584,15,16,13,2289,6.8,16,16,19,19,13,2000,105,15,6,130,0
18246,19.247091033538673,11,14,11,1687,6.83,7,11,11,17,8,1000,110,11,11,116,0
18247,21.218343600273784,12,12,12,0,0.0,11,10,11,7,13,2600,92,24,10,125,-1
18249,17.861738535249827,11,11,10,0,0.0,9,11,7,8,10,500,33,60,5,80,3
18250,18.2258726899384,11,9,11,0,0.0,5,10,17,13,5,500,36,57,5,80,1
18251,21.02943189596167,10,8,12,1275,7.07,6,13,11,20,4,2550,101,24,2,73,0
18252,18.151950718685832,12,4,10,0,0.0,11,10,8,20,8,500,36,61,5,80,1
